"bookingid","customerid","customername","bookingtype","bookingdate","status","classtype","instructor","timeslot","duration","price","facility","theme","servicename","servicetype","customeremail","customerphone"
"35fd1c3d-08eb-4ed1-9bb5-87ec12caba59","2f18c77a-2bb4-471b-a49a-26f62c3643f1","Customer 32","Class","2025-05-30","Pending","Art","Amanda Davis",NULL,NULL,"90.07",NULL,NULL,"Art","Class","customer32@example.com","001-119-5447"
"b27ccf92-13e1-4ba5-8111-2e00306f0fd7","16c4687f-2b1d-469a-a91c-a870746b594a","Customer 33","Class","2025-05-10","Pending","Art","Amanda Davis","13:00:00",120,"225.96",NULL,NULL,"Art","Class","customer33@example.com",NULL
"0f97bc2b-074e-4308-b022-3a235dab20d1","205978f1-aef8-46b1-a756-fa709866422c","Customer 35","Class","2025-04-25","Pending","Gymnastics","Lisa Hensley","09:00:00",45,"296.42",NULL,NULL,"Gymnastics","Class","customer35@example.com",NULL
"db77af08-c5ee-47d2-8faf-d46d2c4a3690","d40e6029-df0b-4363-8e06-c411a7347a92","Customer 40","Class","2025-05-26","Confirmed","Art","Lisa Hensley","15:00:00",90,"136.25",NULL,NULL,"Art","Class",NULL,"001-215-7035"
"81e65ba6-1d5a-4bfa-926b-27006646c212","2478fbe8-9ca2-4176-8cd5-17a59e33ae8c","Customer 43","Class","2025-06-07","Pending","Art","James Howard","11:00:00",90,"261.97",NULL,NULL,"Art","Class","customer43@example.com","001-441-2127"
"a6a83483-2a89-4883-becd-cc5ece59b311","aba1b5ca-21b1-4e2f-8b12-d364bc10a76d","Customer 45","Class","2025-04-24","Pending","Dance","Amanda Davis","13:00:00",120,"192.87",NULL,NULL,"Dance","Class","customer45@example.com","001-669-4365"
"a0d124d5-23b1-4a24-8b9d-54ecce158c63","d8575a4e-789d-4163-b12e-d08d090aa823","Customer 47","Class","2025-05-04","Pending","Gymnastics","Lisa Hensley","11:00:00",120,"180.88",NULL,NULL,"Gymnastics","Class",NULL,"001-275-7503"
"8d1dcb9c-cc60-4f0f-ba36-3b86410add76","bf91e3d6-b493-4832-ae3a-3a012cdb0a4c","Customer 49","Class","2025-04-01","Pending","Art",NULL,"11:00:00",90,"98.11",NULL,NULL,"Art","Class","customer49@example.com","001-132-3808"
"3c391afe-c7c9-430b-9fc0-6030e3b2690b","cab99c6e-623d-4400-95ad-9c0aeeb3b575","Customer 50","Class","2025-04-23","Pending","Art","Lisa Hensley","09:00:00",45,"57.54",NULL,NULL,"Art","Facility","customer50@example.com","001-258-7350"
"a67fd068-fb5b-428a-8d97-5b750efa98a5","c4d055d2-87a3-432d-8bcd-045d1d723ea9","Customer 51","Class","2025-04-14","Confirmed","Gymnastics","James Howard","12:00:00",45,"299.05",NULL,NULL,"Gymnastics","Birthday Party",NULL,"001-874-3644"
"b5364707-97a4-4ab5-89d0-2d614cf1dcc9","a67cf3cc-d058-4de7-b6b1-864a4aaa2f7e","Customer 52","Class","2025-06-02","Confirmed","Gymnastics","Lisa Hensley",NULL,NULL,"69.58",NULL,NULL,"Gymnastics","Class","customer52@example.com","001-416-3747"
"b95ef10b-2a7c-4065-a420-f1061b2ae438","841c3cac-e644-4333-9be1-ee695cfbd420","Customer 68","Class","2025-04-08","Pending","Gymnastics","James Howard","13:00:00",120,"170.44",NULL,NULL,"Gymnastics","Facility","customer68@example.com","001-104-9092"
"9ee1b5fb-315f-4bd0-96de-5a5715969c8c","876e915d-b212-42ad-a2e8-64ad05c8af2c","Customer 69","Class","2025-06-03","Pending","Art",NULL,"14:00:00",120,"231.64",NULL,NULL,"Art","Class","customer69@example.com","001-431-9726"
"4c4ddb80-3971-4c6f-b377-4999ae77490d","9cfc4788-191f-462c-96c4-fbde5662c646","Customer 70","Class","2025-04-28","Confirmed","Gymnastics","Amanda Davis","14:00:00",45,"37.12",NULL,NULL,"Gymnastics","Birthday Party","customer70@example.com",NULL
"f6548f0b-29bc-401d-b874-6e91c894f9de","d96781a9-0b11-4517-b1ac-aa52261f32dc","Customer 74","Class","2025-04-29","Pending","Dance","Amanda Davis","13:00:00",90,"243.4",NULL,NULL,"Dance","Class","customer74@example.com","001-184-3092"
"6df01c9e-9d69-4efc-b4ed-305812634fd5","4a948402-a8bb-45a8-ba63-6d13cc4f7bac","Customer 75","Class","2025-05-22","Pending","Art","Lisa Hensley","15:00:00",90,"117.62",NULL,NULL,"Art","Class","customer75@example.com","001-474-4689"
"6f7c709b-12d8-46e9-b958-7e06f56f0479","bb6e9b0c-b795-4060-9236-8f39b71277e4","Customer 76","Class","2025-05-29","Pending","Gymnastics","James Howard","14:00:00",120,"240.83",NULL,NULL,"Gymnastics","Class",NULL,NULL
"c7e068bc-f66d-4a90-af0b-cc2050dd9f19","009ce218-e747-4541-a1d9-788aa6dc2dce","Customer 81","Class","2025-06-14","Pending","Gymnastics",NULL,"17:00:00",45,"213.13",NULL,NULL,"Gymnastics","Class","customer81@example.com","001-365-7961"
"fc556e41-bf1d-4468-aaca-ef09cd2a63a0","383f6a11-73b2-4b2c-b9f7-219a28969052","Customer 85","Class","2025-06-07","Pending","Gymnastics","Lisa Hensley","14:00:00",45,"130.82",NULL,NULL,"Gymnastics","Class","customer85@example.com",NULL
"8a03c807-776c-488e-b577-e489ab525281","2b84f3e3-884b-4ab5-8eae-12f1b2d02f00","Customer 90","Class","2025-04-15","Confirmed","Dance",NULL,"14:00:00",120,"277.9",NULL,NULL,"Dance","Facility","customer90@example.com","001-604-1226"
"b9bcd7e7-67da-45a3-ba5c-4094dcb96c5c","01f02f0d-8df7-446f-a46a-f49e0ee6769c","Customer 95","Class","2025-04-02","Pending","Gymnastics",NULL,NULL,NULL,"240.62",NULL,NULL,"Gymnastics","Class","customer95@example.com","001-640-4335"
"2ea4b963-c860-473a-9b95-7b5805ba8f10","36c33c4c-c233-44e6-bbc7-bbdc549bf712","Customer 97","Class","2025-06-20","Confirmed","Art","Lisa Hensley","10:00:00",90,"144.91",NULL,NULL,"Art","Class","customer97@example.com","001-937-2748"
"6b6364cc-5bfe-4152-9e6e-58390fc5384b","1fa6c263-c6a3-4e12-8163-3804ad582de9","Customer 98","Class","2025-06-18","Pending","Art","Lisa Hensley","15:00:00",45,"297.06",NULL,NULL,"Art","Class","customer98@example.com","001-689-5308"
"257869ed-b3ec-4e5e-92b9-4994caa6b7a2","da673861-4f09-482d-a378-143d6a8f9606","Customer 108","Class","2025-06-21","Pending","Dance","Amanda Davis","17:00:00",45,"121.26",NULL,NULL,"Dance","Class","customer108@example.com","001-820-8803"
"2bee0365-df6a-4b49-a278-c2bb170c6db5","c6d23ff2-9126-45dd-a3b4-cd63207a53f3","Customer 109","Class","2025-05-29","Pending","Art",NULL,NULL,NULL,"176.07",NULL,NULL,"Art","Birthday Party","customer109@example.com","001-931-7712"
"f262d6a2-65b6-46dc-86f4-ef78f3befd4f","26295488-486d-479b-8600-4329e5305a4a","Customer 113","Class","2025-04-27","Pending","Art","Amanda Davis","14:00:00",90,"69.56",NULL,NULL,"Art","Class","customer113@example.com","001-841-2806"
"3d33e190-1fec-47ff-847e-ab16dd62ff04","a8766679-75c8-4239-87f1-3741c1100310","Customer 114","Class","2025-05-24","Confirmed","Dance","James Howard","10:00:00",90,"104.25",NULL,NULL,"Dance","Class","customer114@example.com","001-122-7383"
"b38aad12-e989-4b66-94d1-f91440d8f298","098f8be2-189b-4168-80af-415c4e91c1fb","Customer 119","Class","2025-05-21","Confirmed","Dance",NULL,"16:00:00",120,"184.39",NULL,NULL,"Dance","Facility","customer119@example.com","001-986-5562"
"1fde3941-c3f8-4545-9567-3cb10442fecd","0a5ae4eb-e1f6-46bb-b23f-dcc5fff98e82","Customer 121","Class","2025-05-07","Pending","Gymnastics",NULL,"09:00:00",45,"53.49",NULL,NULL,"Gymnastics","Facility","customer121@example.com","001-894-1227"
"02c41a51-9f3a-43c2-b0be-3b3006d39b57","a6db1315-da91-4054-b187-776af3882909","Customer 122","Class","2025-04-04","Confirmed","Dance","Lisa Hensley","11:00:00",45,"176.35",NULL,NULL,"Dance","Birthday Party","customer122@example.com","001-397-5353"
"5d2735ea-ce3d-45c6-862c-2182514f2961","b311a674-5d64-42d2-b168-ed3a8cc71b93","Customer 126","Class","2025-05-22","Pending","Art","Amanda Davis","13:00:00",90,"122.05",NULL,NULL,"Art","Class","customer126@example.com","001-533-1978"
"ccd2cfec-8fe9-457a-9f72-3fcebb49f6de","bdde9c40-000c-42b8-bc21-440ae0860d3b","Customer 127","Class","2025-03-31","Pending","Dance","James Howard","11:00:00",90,"87.48",NULL,NULL,"Dance","Class","customer127@example.com","001-485-2697"
"fa3ec692-c258-4f3e-a003-7a0c17054e50","6100aefd-3928-47ff-bc15-acef27d21746","Customer 128","Class","2025-05-18","Confirmed","Art","Amanda Davis","15:00:00",90,"23.8",NULL,NULL,"Art","Facility","customer128@example.com","001-707-4588"
"9ae3b746-8d6c-4ad3-8e12-548c721d0f52","706dee1c-2ed5-4d88-8d84-a25455e87b60","Customer 130","Class","2025-05-12","Confirmed","Art",NULL,NULL,NULL,"95.59",NULL,NULL,"Art","Facility","customer130@example.com","001-984-7841"
"29fb60ef-dfed-4bfd-90d6-114a7a9695a8","9919e299-79e0-4d87-afbb-2a88b79c445e","Customer 142","Class","2025-04-07","Confirmed","Gymnastics","Lisa Hensley","13:00:00",120,"103.14",NULL,NULL,"Gymnastics","Class","customer142@example.com","001-257-9939"
"3c136d82-e2b1-4888-9360-3ce3d45c6180","a5be2cd7-02f1-4c4a-818c-3b25bebaa79e","Customer 145","Class","2025-04-30","Confirmed","Gymnastics","James Howard","09:00:00",45,"110.77",NULL,NULL,"Gymnastics","Facility","customer145@example.com","001-147-3457"
"94fdf886-484b-43ae-88b1-a65d2bec6862","b836114d-b386-4108-b088-2c5325979831","Customer 156","Class","2025-04-10","Confirmed","Art",NULL,"12:00:00",45,"296.6",NULL,NULL,"Art","Class","customer156@example.com","001-244-9656"
"379044e7-d1e9-44ce-9bcc-a76964d29d67","d1a04991-e4c2-40a6-a2d4-a637c4e87690","Customer 158","Class","2025-06-20","Pending","Art","James Howard","15:00:00",120,"16.93",NULL,NULL,"Art","Facility","customer158@example.com","001-127-5723"
"cf3702a3-66d2-439e-b195-a8a741c40c6c","3831da29-a4b0-4e51-90ce-a9b197f51a6b","Customer 159","Class","2025-03-31","Confirmed","Dance","Amanda Davis",NULL,NULL,"264.74",NULL,NULL,"Dance","Birthday Party","customer159@example.com","001-533-9794"
"13a0e713-d8c3-4585-bb8a-46ecd7b25de0","4d5f6135-a649-4f3e-8966-fbd70d041608","Customer 161","Class","2025-04-01","Pending","Art","Amanda Davis","10:00:00",45,"33.24",NULL,NULL,"Art","Birthday Party","customer161@example.com","001-303-1946"
"a00b20ee-d50a-4c02-ac14-143a26e4ec78","80cfd0b7-6b84-4e9c-88dd-1865d202d579","Customer 163","Class","2025-06-12","Pending","Art","Amanda Davis","16:00:00",90,"230.21",NULL,NULL,"Art","Class","customer163@example.com","001-457-1046"
"fa1cbd55-5998-4e7b-833f-a7df9513f66e","1223d418-60ce-4836-8d46-87fd0fa1a4a0","Customer 168","Class","2025-05-09","Pending","Gymnastics","Amanda Davis",NULL,NULL,"211.3",NULL,NULL,"Gymnastics","Facility","customer168@example.com","001-891-4634"
"e90c7bc3-76d9-4063-a987-7ef628b0ee89","b3f9c086-6cf3-4f9b-9881-0d10b619b2c0","Customer 169","Class","2025-03-27","Confirmed","Dance","Lisa Hensley","09:00:00",45,"220.18",NULL,NULL,"Dance","Class",NULL,"001-845-8333"
"df945f17-206d-4af7-9a97-592f4256a223","a6aec83b-56df-460c-8624-6531d90feb08","Customer 176","Class","2025-05-19","Confirmed","Art","Lisa Hensley","17:00:00",90,"149.01",NULL,NULL,"Art","Class",NULL,"001-912-3909"
"4ce8c61f-8a0b-49b2-ba27-085c844a9bba","9d8197d0-1287-4a55-aa3e-c2fee52ea322","Customer 177","Class","2025-05-16","Pending","Dance",NULL,NULL,NULL,"281.4",NULL,NULL,"Dance","Class","customer177@example.com","001-331-5553"
"a4a455fb-2156-40d2-95f0-fd0ea6c1bc94","5b852626-69f6-406e-9c1e-fd8f2ff9e606","Customer 188","Class","2025-05-08","Confirmed","Art","Amanda Davis","14:00:00",45,"183.34",NULL,NULL,"Art","Class","customer188@example.com","001-546-1290"
"f2eb147b-0f65-4580-9846-17705978ee0f","8e21cd56-5d1b-4af1-a317-763f84208741","Customer 189","Class","2025-04-10","Confirmed","Dance","James Howard",NULL,NULL,"295.4",NULL,NULL,"Dance","Class","customer189@example.com","001-317-9055"
"aa2a4522-820d-43d3-aac0-0a391b552c70","061e3612-3ad5-4196-9d62-767edc5a568b","Customer 190","Class","2025-04-03","Confirmed","Dance","Amanda Davis","09:00:00",90,"170.86",NULL,NULL,"Dance","Class","customer190@example.com","001-533-4755"
"08a32f8e-4ed4-4201-ae62-7f1d77024582","235617b9-a5a9-43b9-8449-76b88b71fe01","Customer 193","Class","2025-05-05","Confirmed","Art",NULL,"13:00:00",45,"249.36",NULL,NULL,"Art","Class","customer193@example.com","001-312-1512"
"1a269ffe-bc25-4569-aa80-88fe24e5a51f","fe1f071c-2978-4bb5-8ed9-27fec0e6a1c2","Customer 196","Class","2025-04-03","Pending","Dance","James Howard","14:00:00",45,"122.4",NULL,NULL,"Dance","Facility","customer196@example.com",NULL
"e62abc3b-d89b-48c8-b573-4013267060aa","6c5f4de5-134b-49fe-a3be-b75178c65a45","Customer 197","Class","2025-05-09","Pending","Gymnastics",NULL,NULL,NULL,"165.16",NULL,NULL,"Gymnastics","Class","customer197@example.com","001-540-7428"
"9472a728-5084-48e7-8e15-839be2ddb139","2332532d-6091-4cfb-82c9-d208fdf2979f","Customer 200","Class","2025-04-04","Pending","Art","James Howard","09:00:00",45,"38.67",NULL,NULL,"Art","Birthday Party","customer200@example.com","001-276-5557"
"109594d4-f790-4a29-ac72-1ca704463424","c96abafd-f6eb-4017-bbc5-0acacc6d1ae3","Customer 210","Class","2025-04-15","Pending","Dance","Lisa Hensley","13:00:00",45,"245.31",NULL,NULL,"Dance","Facility","customer210@example.com","001-588-8035"
"6545eb4d-8bc1-49e3-8969-75c77a096b60","15c70086-4566-4cef-a73e-892c29bab5b5","Customer 212","Class","2025-06-05","Confirmed","Art","Lisa Hensley","15:00:00",90,"196.32",NULL,NULL,"Art","Class","customer212@example.com","001-744-5499"
"d5ff8584-d8d5-44ad-90ed-01a446284b0d","c0f6813c-283e-404d-af87-7a64d63df91e","Customer 215","Class","2025-03-28","Confirmed","Art","Amanda Davis","09:00:00",90,"225.49",NULL,NULL,"Art","Class","customer215@example.com","001-531-1289"
"72f3d59e-79d8-41f5-9a15-a62dd1dff0f4","50a06c25-ca71-4027-a8de-017765879a86","Customer 219","Class","2025-05-03","Pending","Gymnastics","Amanda Davis","11:00:00",90,"276.31",NULL,NULL,"Gymnastics","Class",NULL,NULL
"5b52f8d1-e865-4806-9634-8a41346be642","b63521e8-92ad-4ab9-9dd7-13906ab6d548","Customer 220","Class","2025-05-16","Confirmed","Art","James Howard","09:00:00",90,"215.74",NULL,NULL,"Art","Class","customer220@example.com","001-975-8980"
"56495fb5-9c1a-418d-913b-bfdfc141e9ab","8d035a92-5d3d-4b26-8509-deee8a063211","Customer 228","Class","2025-06-10","Pending","Dance","Amanda Davis","14:00:00",90,"150.25",NULL,NULL,"Dance","Class","customer228@example.com","001-899-5660"
"54b10571-8d41-422e-a956-a16b4112d7af","cc0e080f-f55f-473e-8f4b-de8f77b1fc7a","Customer 234","Class","2025-04-23","Confirmed","Gymnastics","James Howard","13:00:00",90,"32.15",NULL,NULL,"Gymnastics","Facility","customer234@example.com","001-805-6632"
"cf33bd12-dfec-48ed-9a83-a04a0c0a7138","6525e5e5-e0a1-4498-a3b7-89ef43dc37fd","Customer 235","Class","2025-06-14","Confirmed","Art",NULL,NULL,NULL,"117.69",NULL,NULL,"Art","Class","customer235@example.com","001-483-8723"
"b193f2bf-ca8a-4d5b-9a79-6e6aeee87832","0c9e7c93-3e1c-4659-8e25-de0992af306d","Customer 237","Class","2025-04-14","Confirmed","Art","Lisa Hensley","14:00:00",120,"31.74",NULL,NULL,"Art","Class",NULL,"001-781-9334"
"e79e2ca2-3e85-41f8-94b2-f37c2bd06a66","ec13ac2d-510e-41e3-8195-bfb4d50b946f","Customer 246","Class","2025-04-11","Pending","Gymnastics","Amanda Davis","10:00:00",90,"28.95",NULL,NULL,"Gymnastics","Class","customer246@example.com","001-475-3469"
"5b796dfb-e0eb-48dc-b15e-a38e633f4983","386f81f7-f20a-4b1e-932e-9a19149890ae","Customer 247","Class","2025-05-29","Confirmed","Art","James Howard","14:00:00",90,"112.03",NULL,NULL,"Art","Class","customer247@example.com","001-578-6414"
"39e6d0ce-2304-467e-acfa-70b4ab6b774b","472211df-e514-4775-91a6-e2a81b607857","Customer 253","Class","2025-06-18","Confirmed","Gymnastics","Lisa Hensley",NULL,NULL,"222.77",NULL,NULL,"Gymnastics","Facility","customer253@example.com","001-213-3771"
"0f501c3e-060f-45f0-9286-d095a40b6a13","f99bdeac-9fb0-4b4b-802f-3f36d678ba28","Customer 256","Class","2025-06-01","Confirmed","Art","James Howard","10:00:00",120,"274.8",NULL,NULL,"Art","Class","customer256@example.com","001-880-1460"
"ef3d15c7-8aec-49c3-af4f-297c996cd902","b14ab1f4-ff09-49e3-a223-42079e958295","Customer 257","Class","2025-04-08","Confirmed","Gymnastics","Amanda Davis",NULL,NULL,"229.87",NULL,NULL,"Gymnastics","Class","customer257@example.com","001-975-7474"
"35ab3ac4-757c-4ae4-affb-bbe047481b78","570daff8-10de-4055-b68d-410dba750418","Customer 258","Class","2025-05-24","Confirmed","Gymnastics","Lisa Hensley",NULL,NULL,"288.79",NULL,NULL,"Gymnastics","Class","customer258@example.com","001-727-4181"
"839435ab-ccd1-4334-bf2b-36b3554e9fa2","12011153-ad84-465c-ba18-f07129f0ca04","Customer 259","Class","2025-05-17","Pending","Dance",NULL,NULL,NULL,"77.3",NULL,NULL,"Dance","Birthday Party","customer259@example.com","001-698-8651"
"7538432d-74ed-4ad9-aefa-d2cc6762c418","2c73c6aa-4b06-4dd8-b0c8-aec1e76fbfc7","Customer 261","Class","2025-06-20","Confirmed","Dance","Lisa Hensley","17:00:00",90,"138.98",NULL,NULL,"Dance","Class","customer261@example.com","001-566-8421"
"3bb786a3-81b8-404f-a567-b17eb57cd479","e84a1fad-0229-4a41-a182-eacf735d92d5","Customer 269","Class","2025-06-22","Pending","Gymnastics","Lisa Hensley","11:00:00",90,"86.66",NULL,NULL,"Gymnastics","Birthday Party","customer269@example.com","001-305-7937"
"46ee6cab-5fcc-46d1-b368-7287838fb221","c08c12ce-0af7-4dd6-8164-a5e590c4b69d","Customer 273","Class","2025-05-17","Confirmed","Art","Amanda Davis","16:00:00",90,"220.33",NULL,NULL,"Art","Class","customer273@example.com","001-944-2499"
"94037061-9fb3-4fa7-8778-39aa089fe997","bc0301d0-52a2-4b59-b574-e272d01d93e0","Customer 280","Class","2025-06-11","Confirmed","Gymnastics","Lisa Hensley","13:00:00",120,"258.64",NULL,NULL,"Gymnastics","Class","customer280@example.com","001-211-5467"
"e2974fd0-36dd-430a-975b-22a1948332df","3d5de5f4-adf7-41fc-88e2-a834ca08bb9b","Customer 281","Class","2025-06-15","Confirmed","Gymnastics","Amanda Davis","11:00:00",90,"239.39",NULL,NULL,"Gymnastics","Class","customer281@example.com",NULL
"30508191-396f-461d-a620-afe0296c246c","e96a1d4d-8104-4ebc-8b38-a273bdbaf8a4","Customer 289","Class","2025-04-09","Confirmed","Dance","Amanda Davis","17:00:00",45,"124.76",NULL,NULL,"Dance","Birthday Party","customer289@example.com","001-370-5327"
"601d68a7-bf85-4f10-8ff2-5187274eb226","2d9e995e-6f93-4e36-8a96-32240fd98a0b","Customer 294","Class","2025-06-07","Pending","Art",NULL,NULL,NULL,"275.82",NULL,NULL,"Art","Class","customer294@example.com","001-759-9832"
"f324b192-35c4-4e19-a729-8c51812ea1b0","1a50f91e-4bee-49b4-bb47-cdfbba4136a5","Customer 298","Class","2025-03-25","Confirmed","Gymnastics","James Howard",NULL,NULL,"210.23",NULL,NULL,"Gymnastics","Birthday Party","customer298@example.com","001-787-2366"
"78f46ced-72b6-4965-ba3b-99ae1997cf1c","6d87eb79-2872-47d1-ae1b-4d9277bd2951","Customer 302","Class","2025-03-31","Confirmed","Gymnastics","Amanda Davis","14:00:00",120,"135.28",NULL,NULL,"Gymnastics","Class","customer302@example.com","001-132-3969"
"2fa88671-6bde-44da-8bec-f5865f7a2775","20040243-f5b8-47b6-8ec0-9d563658eec3","Customer 309","Class","2025-06-12","Confirmed","Art","Lisa Hensley","15:00:00",120,"28.97",NULL,NULL,"Art","Class","customer309@example.com","001-178-2660"
"580d8d63-77cb-401e-9ae7-f16262551713","1df7e090-bb8c-4d9b-84e4-89e6affad98f","Customer 310","Class","2025-05-17","Pending","Gymnastics",NULL,"14:00:00",120,"283.34",NULL,NULL,"Gymnastics","Facility",NULL,"001-711-1824"
"342cb9a9-bc09-4008-aac9-1d53881086ad","327dd382-e761-43ef-9070-fe05750db0e0","Customer 313","Class","2025-06-08","Confirmed","Gymnastics","Amanda Davis","09:00:00",90,"52.98",NULL,NULL,"Gymnastics","Class","customer313@example.com",NULL
"d204cdff-e2d6-44a4-82b8-230c2304e91e","0b1fff87-13ef-4729-8bc4-4abe9c7c7941","Customer 319","Class","2025-05-11","Confirmed","Art","James Howard","13:00:00",45,"196.85",NULL,NULL,"Art","Class",NULL,"001-966-7293"
"91f12ead-e460-49b2-b184-614f6b14e038","0eddf917-7871-46e5-9d29-77fc55f07400","Customer 320","Class","2025-05-09","Confirmed","Gymnastics","Amanda Davis","14:00:00",45,"134.04",NULL,NULL,"Gymnastics","Class","customer320@example.com","001-321-6480"
"90d29c6a-b141-4790-ab49-847370f78ff8","b3e5c73b-932a-4dc3-8fd4-c575b2406777","Customer 328","Class","2025-06-11","Confirmed","Art","Lisa Hensley","13:00:00",90,"35.07",NULL,NULL,"Art","Birthday Party","customer328@example.com","001-479-1727"
"71236b83-07a0-484a-a9ea-0b2c77a50b1e","311ce035-8459-4aa4-aba2-88627bdb75c9","Customer 329","Class","2025-04-26","Confirmed","Gymnastics","Lisa Hensley","16:00:00",45,"208.45",NULL,NULL,"Gymnastics","Class","customer329@example.com","001-943-1980"
"e34f0398-2d13-4603-8fb2-72026744d68b","a93ad879-a884-4021-a712-3aba8af48c4c","Customer 330","Class","2025-05-20","Pending","Dance",NULL,NULL,NULL,"60.68",NULL,NULL,"Dance","Class","customer330@example.com","001-833-9764"
"c6baffae-d249-44b3-bd8d-3572cac0a4fb","d666f92a-ca18-4d59-a584-ddab9412e4d6","Customer 331","Class","2025-06-04","Pending","Dance","Amanda Davis","12:00:00",90,"222.94",NULL,NULL,"Dance","Birthday Party","customer331@example.com","001-521-7311"
"1dc4fd20-f4fd-4c3c-904f-2ddf6e4af563","eb6c97f8-5235-4945-8d5f-634c14b2e1bb","Customer 332","Class","2025-05-23","Confirmed","Gymnastics","Amanda Davis","16:00:00",90,"207.04",NULL,NULL,"Gymnastics","Class","customer332@example.com","001-735-8456"
"94ab3da2-27bf-491a-885d-360175af29aa","65d514b1-e7dc-49b2-9128-5cf7ad885c12","Customer 342","Class","2025-06-07","Pending","Gymnastics","Amanda Davis","12:00:00",90,"72.47",NULL,NULL,"Gymnastics","Class","customer342@example.com","001-527-7749"
"9077aa42-1504-4a20-ab1d-a38a1efa2559","4f3ceb41-541a-415c-9045-b6e3a82085ce","Customer 345","Class","2025-05-15","Pending","Gymnastics","James Howard","10:00:00",45,"270.23",NULL,NULL,"Gymnastics","Facility","customer345@example.com","001-361-5024"
"11584459-b77a-4d18-89b5-81c2395d793b","75468b5f-174d-462b-9c43-40d74f2f3164","Customer 347","Class","2025-05-26","Confirmed","Art",NULL,NULL,NULL,"291.39",NULL,NULL,"Art","Class","customer347@example.com",NULL
"4d14a4e0-f8f6-4408-b0f2-91df5c6153b5","811db648-3b63-459b-b282-74ea069d0b87","Customer 359","Class","2025-04-05","Pending","Dance","Amanda Davis","15:00:00",90,"291.48",NULL,NULL,"Dance","Facility","customer359@example.com","001-182-9274"
"beeff399-9f59-4e66-9d11-e6a7a6e541ab","14d306a4-310d-41d5-84fe-e490eaa7e6cd","Customer 364","Class","2025-06-01","Pending","Art","Amanda Davis","17:00:00",120,"15.37",NULL,NULL,"Art","Class","customer364@example.com","001-850-4288"
"4f0aeb2c-ad73-4127-a3e7-c10d7c780666","b56e35fc-068c-4685-b6dd-ca3f7fca53f9","Customer 370","Class","2025-05-14","Pending","Dance",NULL,"14:00:00",45,"94.25",NULL,NULL,"Dance","Birthday Party","customer370@example.com","001-284-1731"
"69c790e2-b052-48c7-ac4d-b06e341f55a8","877b77c8-129f-4259-9500-1db33c3f8a6a","Customer 371","Class","2025-04-15","Pending","Art","Amanda Davis",NULL,NULL,"155.98",NULL,NULL,"Art","Facility","customer371@example.com","001-215-1688"
